,0
0,Alabama
1,Connecticut
2,Delaware
3,Illinois
4,Indiana
5,Iowa
6,Louisiana
7,Maine
8,Maryland
9,Massachusetts
10,Nebraska
11,New Hampshire
12,Ohio
13,Oklahoma
14,Pennsylvania
15,Rhode Island
16,Tennessee
17,Vermont
18,Wisconsin
